dataset,period,since,tool_filter,failed_filter,row_kind,timestamp,command,tool,dispatch_key,exit_code,failed,passthrough,duration_ms,commands,raw_bytes,kept_bytes,dropped_bytes,drop_ratio,estimated_input_tokens,estimated_output_tokens,estimated_saved_tokens,estimated_savings_pct
history,,,,false,data,2026-03-11T12:32:25Z,wc -l /Users/roman.khlebnov/IdeaProjects/travels/hotels-client/src/main/java/com/revolut/travels/hotels/properties/clients/AmenitiesClient.java /Users/roman.khlebnov/IdeaProjects/travels/hotels-client/src/main/java/com/revolut/travels/hotels/properties/clients/HttpAmenitiesClient.java /Users/roman.khlebnov/IdeaProjects/travels/hotels-client/src/main/java/com/revolut/travels/hotels/properties/clients/HttpPropertyClient.java /Users/roman.khlebnov/IdeaProjects/travels/hotels-client/src/main/java/com/revolut/travels/hotels/properties/clients/NoOpAmenitiesClient.java /Users/roman.khlebnov/IdeaProjects/travels/hotels-client/src/main/java/com/revolut/travels/hotels/properties/clients/PropertyClient.java /Users/roman.khlebnov/IdeaProjects/travels/hotels-client/src/main/java/com/revolut/travels/hotels/bookings/clients/BookingClient.java /Users/roman.khlebnov/IdeaProjects/travels/hotels-client/src/main/java/com/revolut/travels/hotels/bookings/clients/HttpBookingClient.java /Users/roman.khlebnov/IdeaProjects/travels/...,unknown,stdin=tty,0,false,false,174,,1197,1197,0,0.0000,300,300,0,0.00
history,,,,false,data,2026-03-11T12:32:19Z,find /Users/roman.khlebnov/IdeaProjects/travels/hotels-client/src/main/java/com/revolut/travels/hotels/bookings/clients -name *.java,find,find|pattern=*.java|type=f|max=200|root=/Users/roman.khlebnov/IdeaProjects/travels/hotels-client/src/main/java/com/revolut/travels/hotels/bookings/clients|hidden=1|heartbeat=0|stdin=tty,0,false,false,4,,410,74,336,0.8195,103,19,84,81.55
history,,,,false,data,2026-03-11T12:32:17Z,find /Users/roman.khlebnov/IdeaProjects/travels -path */hotels-client -prune -o -type f -name *AmenitiesClient* -print,find,find|pattern=*AmenitiesClient*|type=f|max=200|root=/Users/roman.khlebnov/IdeaProjects/travels|hidden=1|heartbeat=0|stdin=tty,0,false,false,328,,0,0,0,0.0000,0,0,0,0.00
history,,,,false,data,2026-03-11T12:32:15Z,find /Users/roman.khlebnov/IdeaProjects/travels -path */hotels-client -prune -o -type f -name *PropertyClient* -print,find,find|pattern=*PropertyClient*|type=f|max=200|root=/Users/roman.khlebnov/IdeaProjects/travels|hidden=1|heartbeat=0|stdin=tty,0,false,false,353,,0,0,0,0.0000,0,0,0,0.00
history,,,,false,data,2026-03-11T12:32:07Z,head -20,unknown,stdin=pipe,0,false,false,31,,791,791,0,0.0000,198,198,0,0.00
history,,,,false,data,2026-03-11T12:32:07Z,find /Users/roman.khlebnov/IdeaProjects/travels/hotels-domain/src/main/kotlin -name *Property* -type f,find,find|pattern=*Property*|type=f|max=200|root=/Users/roman.khlebnov/IdeaProjects/travels/hotels-domain/src/main/kotlin|hidden=1|heartbeat=0|stdin=none,0,false,false,28,,9275,3158,6117,0.6595,2319,790,1529,65.93
history,,,,false,data,2026-03-11T12:32:05Z,grep -r findPropertiesAvailability\|getPropertyFilters /Users/roman.khlebnov/IdeaProjects/travels/hotels-app --include=*.kt -l,grep,grep|max=50|context_only=0|stdin=tty,2,true,false,6,,82,84,-2,-0.0244,21,21,0,0.00
history,,,,false,data,2026-03-11T12:31:56Z,sort,unknown,stdin=pipe,0,false,false,7,,847,847,0,0.0000,212,212,0,0.00
history,,,,false,data,2026-03-11T12:31:56Z,find /Users/roman.khlebnov/IdeaProjects/travels/hotels-client/src/main/java/com/revolut/travels/hotels/properties/model -type f -name *.java,find,find|pattern=*.java|type=f|max=200|root=/Users/roman.khlebnov/IdeaProjects/travels/hotels-client/src/main/java/com/revolut/travels/hotels/properties/model|hidden=1|heartbeat=0|stdin=none,0,false,false,5,,4854,847,4007,0.8255,1214,212,1002,82.54
history,,,,false,data,2026-03-11T12:31:52Z,head -30,unknown,stdin=pipe,0,false,false,17,,928,928,0,0.0000,232,232,0,0.00
history,,,,false,data,2026-03-11T12:31:52Z,find /Users/roman.khlebnov/IdeaProjects/travels/hotels-common/src -type f ( -name *.java -o -name *.kt ),find,find|pattern=*.kt|type=f|max=200|root=/Users/roman.khlebnov/IdeaProjects/travels/hotels-common/src|hidden=1|heartbeat=0|stdin=none,0,false,false,14,,23018,7170,15848,0.6885,5755,1793,3962,68.84
history,,,,false,data,2026-03-11T12:31:51Z,head -20,unknown,stdin=pipe,0,false,false,8,,24,24,0,0.0000,6,6,0,0.00
history,,,,false,data,2026-03-11T12:31:51Z,ls -la /Users/roman.khlebnov/IdeaProjects/travels/hotels-common/,ls,stdin=none,0,false,false,6,,254,24,230,0.9055,64,6,58,90.62
history,,,,false,data,2026-03-11T12:31:46Z,find /Users/roman.khlebnov/IdeaProjects/travels/hotels-common -type f -name *Property*.java -o -name *Amenity*.java,find,find|pattern=*Amenity*.java|type=f|max=200|root=/Users/roman.khlebnov/IdeaProjects/travels/hotels-common|hidden=1|heartbeat=0|stdin=tty,0,false,false,13,,0,0,0,0.0000,0,0,0,0.00
history,,,,false,data,2026-03-11T12:31:44Z,grep -v hotels-client,grep,grep|max=50|context_only=0|stdin=pipe,0,false,false,3264,,94050777,93861304,189473,0.0020,23512695,23465326,47369,0.20
history,,,,false,data,2026-03-11T12:31:41Z,find /Users/roman.khlebnov/IdeaProjects/travels -type d -name *properties*,find,find|pattern=*properties*|type=d|max=200|root=/Users/roman.khlebnov/IdeaProjects/travels|hidden=1|heartbeat=0|stdin=none,0,false,false,376,,545,335,210,0.3853,137,84,53,38.69
history,,,,false,data,2026-03-11T12:31:40Z,find /Users/roman.khlebnov/IdeaProjects/travels -type d -name properties,find,find|pattern=properties|type=d|max=200|root=/Users/roman.khlebnov/IdeaProjects/travels|hidden=1|heartbeat=0|stdin=none,0,false,false,401,,220,136,84,0.3818,55,34,21,38.18
history,,,,false,data,2026-03-11T12:31:39Z,grep -E integration|hotels-common,grep,grep|max=50|context_only=0|stdin=pipe,2,true,false,13,,90,92,-2,-0.0222,23,23,0,0.00
history,,,,false,data,2026-03-11T12:31:34Z,sort,unknown,stdin=pipe,0,false,false,26,,7874,7874,0,0.0000,1969,1969,0,0.00
history,,,,false,data,2026-03-11T12:31:34Z,find /Users/roman.khlebnov/IdeaProjects/travels/hotels-client -type f ( -name *.kt -o -name *.java ),find,find|pattern=*.java|type=f|max=200|root=/Users/roman.khlebnov/IdeaProjects/travels/hotels-client|hidden=1|heartbeat=0|stdin=none,0,false,false,18,,33020,7874,25146,0.7615,8255,1969,6286,76.15
history,,,,false,data,2026-03-11T12:31:32Z,head -20,unknown,stdin=pipe,0,false,false,27,,619,619,0,0.0000,155,155,0,0.00
history,,,,false,data,2026-03-11T12:31:32Z,find /Users/roman.khlebnov/IdeaProjects/travels/hotels-client -type f -name *.kt -o -name *.java,find,find|pattern=*.java|type=f|max=200|root=/Users/roman.khlebnov/IdeaProjects/travels/hotels-client|hidden=1|heartbeat=0|stdin=none,0,false,false,21,,33020,7874,25146,0.7615,8255,1969,6286,76.15
