00000|web-1  | WARN retrying connection
00001|web-1  | WARN retrying connection
00002|web-1  | WARN retrying connection
00003|web-1  | WARN retrying connection
00004|web-1  | WARN retrying connection
00005|web-1  | WARN retrying connection
00006|web-1  | WARN retrying connection
00007|web-1  | WARN retrying connection
00008|web-1  | WARN retrying connection
00009|web-1  | WARN retrying connection
00010|web-1  | WARN retrying connection
00011|web-1  | WARN retrying connection
00012|web-1  | WARN retrying connection
00013|web-1  | WARN retrying connection
00014|web-1  | WARN retrying connection
00015|web-1  | WARN retrying connection
00016|web-1  | WARN retrying connection
00017|web-1  | WARN retrying connection
00018|web-1  | WARN retrying connection
00019|web-1  | WARN retrying connection
00020|web-1  | WARN retrying connection
00021|web-1  | WARN retrying connection
00022|web-1  | WARN retrying connection
00023|web-1  | WARN retrying connection
00024|web-1  | WARN retrying connection
00025|web-1  | WARN retrying connection
00026|web-1  | WARN retrying connection
00027|web-1  | WARN retrying connection
00028|web-1  | WARN retrying connection
00029|web-1  | WARN retrying connection
00030|web-1  | WARN retrying connection
00031|web-1  | WARN retrying connection
00032|web-1  | WARN retrying connection
00033|web-1  | WARN retrying connection
00034|web-1  | WARN retrying connection
00035|web-1  | WARN retrying connection
00036|web-1  | WARN retrying connection
00037|web-1  | WARN retrying connection
00038|web-1  | WARN retrying connection
00039|web-1  | WARN retrying connection
00040|web-1  | WARN retrying connection
00041|web-1  | WARN retrying connection
00042|web-1  | WARN retrying connection
00043|web-1  | WARN retrying connection
00044|web-1  | WARN retrying connection
00045|web-1  | WARN retrying connection
00046|web-1  | WARN retrying connection
00047|web-1  | WARN retrying connection
00048|web-1  | WARN retrying connection
00049|web-1  | WARN retrying connection
00050|web-1  | WARN retrying connection
00051|web-1  | WARN retrying connection
00052|web-1  | WARN retrying connection
00053|web-1  | WARN retrying connection
00054|web-1  | WARN retrying connection
00055|web-1  | WARN retrying connection
00056|web-1  | WARN retrying connection
00057|web-1  | WARN retrying connection
00058|web-1  | WARN retrying connection
00059|web-1  | WARN retrying connection
00060|web-1  | WARN retrying connection
00061|web-1  | WARN retrying connection
00062|web-1  | WARN retrying connection
00063|web-1  | WARN retrying connection
00064|web-1  | WARN retrying connection
00065|web-1  | WARN retrying connection
00066|web-1  | WARN retrying connection
00067|web-1  | WARN retrying connection
00068|web-1  | WARN retrying connection
00069|web-1  | WARN retrying connection
00070|web-1  | WARN retrying connection
00071|web-1  | WARN retrying connection
00072|web-1  | WARN retrying connection
00073|web-1  | WARN retrying connection
00074|web-1  | WARN retrying connection
00075|web-1  | WARN retrying connection
00076|web-1  | WARN retrying connection
00077|web-1  | WARN retrying connection
00078|web-1  | WARN retrying connection
00079|web-1  | WARN retrying connection
00080|api-1  | INFO retrying connection
00081|api-1  | INFO retrying connection
00082|api-1  | INFO retrying connection
00083|api-1  | INFO retrying connection
00084|api-1  | INFO retrying connection
00085|api-1  | INFO retrying connection
00086|api-1  | INFO retrying connection
00087|api-1  | INFO retrying connection
00088|api-1  | INFO retrying connection
00089|api-1  | INFO retrying connection
00090|api-1  | INFO retrying connection
00091|api-1  | INFO retrying connection
00092|api-1  | INFO retrying connection
00093|api-1  | INFO retrying connection
00094|api-1  | INFO retrying connection
00095|api-1  | INFO retrying connection
00096|api-1  | INFO retrying connection
00097|api-1  | INFO retrying connection
00098|api-1  | INFO retrying connection
00099|api-1  | INFO retrying connection
00100|api-1  | INFO retrying connection
00101|api-1  | INFO retrying connection
00102|api-1  | INFO retrying connection
00103|api-1  | INFO retrying connection
00104|api-1  | INFO retrying connection
00105|api-1  | INFO retrying connection
00106|api-1  | INFO retrying connection
00107|api-1  | INFO retrying connection
00108|api-1  | INFO retrying connection
00109|api-1  | INFO retrying connection
00110|api-1  | INFO retrying connection
00111|api-1  | INFO retrying connection
00112|api-1  | INFO retrying connection
00113|api-1  | INFO retrying connection
00114|api-1  | INFO retrying connection
00115|api-1  | INFO retrying connection
00116|api-1  | INFO retrying connection
00117|api-1  | INFO retrying connection
00118|api-1  | INFO retrying connection
00119|api-1  | INFO retrying connection
00120|api-1  | INFO retrying connection
00121|api-1  | INFO retrying connection
00122|api-1  | INFO retrying connection
00123|api-1  | INFO retrying connection
00124|api-1  | INFO retrying connection
00125|api-1  | INFO retrying connection
00126|api-1  | INFO retrying connection
00127|api-1  | INFO retrying connection
00128|api-1  | INFO retrying connection
00129|api-1  | INFO retrying connection
00130|api-1  | INFO retrying connection
00131|api-1  | INFO retrying connection
00132|api-1  | INFO retrying connection
00133|api-1  | INFO retrying connection
00134|api-1  | INFO retrying connection
00135|api-1  | INFO retrying connection
00136|api-1  | INFO retrying connection
00137|api-1  | INFO retrying connection
00138|api-1  | INFO retrying connection
00139|api-1  | INFO retrying connection
00140|api-1  | INFO retrying connection
00141|api-1  | INFO retrying connection
00142|api-1  | INFO retrying connection
00143|api-1  | INFO retrying connection
00144|api-1  | INFO retrying connection
00145|api-1  | INFO retrying connection
00146|api-1  | INFO retrying connection
00147|api-1  | INFO retrying connection
00148|api-1  | INFO retrying connection
00149|api-1  | INFO retrying connection
00150|api-1  | INFO retrying connection
00151|api-1  | INFO retrying connection
00152|api-1  | INFO retrying connection
00153|api-1  | INFO retrying connection
00154|api-1  | INFO retrying connection
00155|api-1  | INFO retrying connection
00156|api-1  | INFO retrying connection
00157|api-1  | INFO retrying connection
00158|api-1  | INFO retrying connection
00159|api-1  | INFO retrying connection
00160|api-1  | INFO retrying connection
00161|api-1  | INFO retrying connection
00162|api-1  | INFO retrying connection
00163|api-1  | INFO retrying connection
00164|api-1  | INFO retrying connection
00165|api-1  | INFO retrying connection
00166|api-1  | INFO retrying connection
00167|api-1  | INFO retrying connection
00168|api-1  | INFO retrying connection
00169|api-1  | stderr-line-1
00170|api-1  | INFO retrying connection
00171|api-1  | INFO retrying connection
00172|api-1  | INFO retrying connection
00173|api-1  | INFO retrying connection
00174|api-1  | INFO retrying connection
00175|api-1  | INFO retrying connection
00176|api-1  | INFO retrying connection
00177|api-1  | INFO retrying connection
00178|api-1  | INFO retrying connection
00179|api-1  | INFO retrying connection
00180|api-1  | INFO retrying connection
00181|api-1  | INFO retrying connection
00182|api-1  | INFO retrying connection
00183|api-1  | INFO retrying connection
00184|api-1  | INFO retrying connection
00185|api-1  | INFO retrying connection
00186|api-1  | INFO retrying connection
00187|api-1  | INFO retrying connection
00188|api-1  | INFO retrying connection
00189|api-1  | INFO retrying connection
00190|api-1  | INFO retrying connection
00191|api-1  | INFO retrying connection
00192|api-1  | INFO retrying connection
00193|api-1  | INFO retrying connection
00194|api-1  | INFO retrying connection
00195|api-1  | INFO retrying connection
00196|api-1  | INFO retrying connection
00197|api-1  | INFO retrying connection
00198|api-1  | INFO retrying connection
00199|api-1  | INFO retrying connection
00200|api-1  | INFO retrying connection
00201|api-1  | ERROR final failure
